speakeroldname,speechtext,speakerparty,speakerriding,speakername
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am happy to answer the question from the member opposite on what an agreement in principle is. It is great to see the NDP members taking an interest in trade deals, because we know that trade is good for growing the economy.
When we actually move forward with an agreement in principle, it is because the broad strokes have been agreed to on the trade agreement and it means we will be able to move into the legal scrub, which is the next step to make sure that they all connect properly.
We are working very hard on signing and improving NAFTA. We are glad that the NDP is taking an interest.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we have been working with our NAFTA partners for months to improve and negotiate a new agreement that will be better for the workers of our three countries.
We know that workers, businesses, investors, and travellers need certainty, and that is exactly what we are working on.
We understand that this is a long process and that this American administration poses some challenges, but we are focused on what we have to do to defend the interests of Canada and businesses and to create economic growth in our three countries.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are committed to a compassionate asylum system, all the while ensuring that only those who should be in Canada are allowed to stay. In contrast, the Harper Conservatives cut $390 million from the CBSA and cut refugee health care. They created massive backlogs and processing delays which we are still working to fix. We have invested $173 million, which includes $74 million to ensure faster processing of claims. While Conservatives continue to vote against funding for our security agencies, we will make sure they have the resources they need.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, once again, the Conservatives' approach is to muddy the waters and play up divisions and fear. We have made it very clear that we are an open and welcoming country, but we are also a country of rules and laws. Anyone who arrives in this country, whether it be through regular or irregular migration, gets the full process of Canada's immigration system applied to them, from security checks to analysis of their files. We are signatories to international conventions that make us welcome refugees, but we do need to ensure they are actual refugees or they get sent home.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, despite all the fearmongering by Conservatives, I can reassure Canadians categorically that our immigration system continues to be applied rigorously and to the full extent of all the rules and principles that Canadians expect and indeed are reassured by. 
Yes, there is an increased flow of irregular migrants, but we are capable of dealing with them. We are capable of processing their files, and that is despite the backlogs left to us by 10 years of mismanagement of our system by the Conservatives.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, again, the Conservatives are fearmongering and dividing Canadians.
We do indeed need immigration in Canada. We have labour shortages. We welcome people from around the world because we know that this leads to economic growth and better quality of life for all Canadians.
At the same time, we are enforcing the immigration system strictly and with integrity. We have a process that applies to everyone, whether people arrive through the regular channels or in an irregular manner. We can assure Canadians that our system continues to be enforced in accordance with the rules.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I want to clarify something for the member opposite. Our country has dealt with irregular arrivals every year for many years, even under the Conservative government. It is even more difficult to understand why they cut nearly $400 million from the Canada Border Services Agency budget and why they cut health care services for refugees, from vulnerable people. They caused slowdowns in our immigration system that we are now trying to fix. We are enforcing the act, our— ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, what the NDP does not understand is that choosing between the environment and the economy is a thing of the past. We have to create jobs while protecting the environment. The fact that we are losing $15 billion a year because we do not have a secondary market for our oil resources costs every Canadian something. We reviewed and approved this Trans Mountain project with a better and more sound process. It is in the national interest. That is why this pipeline will be built.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, it is clear that the NDP is bent on looking for excuses to block this pipeline, which is going to create jobs in Canada and help us export our resources to new markets where we can get better prices. Furthermore, we are going to show leadership on climate change by putting a price on carbon pollution across the country and by protecting our coasts with a world-class oceans protection plan. We are going to keep showing that the economy and the environment go hand in hand.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, every year Canadians lose about $15 billion because we do not have access to a new market for our oil resources. Getting this pipeline built will fix that, will lead to better jobs, and will also allow us to continue to achieve our carbon reduction targets by bringing in a national price on pollution. 
These are things that Canadians understand go together. We grow the economy. We protect the environment. We do them both together. That is what makes a difference for Canadians.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, just to correct the record, we have committed to and are on track to phasing out inefficient fossil fuel subsidies by the year 2025. To do this, we announced in our first budget the expiration of the tax writeoffs on capital investments in LNG facilities. In budget 2017, we announced the elimination of certain tax credits for exploration expenses in the oil and gas sector. 
We are developing our resources while protecting our environment, including safeguarding our oceans and combatting climate change. Our government understands that a clean environment and a strong economy must go hand in hand.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the Conservatives are yet again demonstrating not just their tenuous relationship with the truth, but also with the understanding that we have to take good, clean action on carbon. After 10 long years of the Harper Conservatives doing absolutely nothing on the environment, the same Conservatives show that they just do not get it.
We are putting a price on carbon pollution because it will reduce emissions and drive growth in the right direction at the same time. While Harper Conservatives believe that by making the economy and the environment work together and that somehow Canada is broken, we will continue to invest in clean technology.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we have been putting in place practical, low-cost measures to tackle climate change and drive clean growth, including pricing pollution. It is clear that the Conservatives have no intention of taking climate change seriously and have no plan to promote clean growth in Canada. This is exactly the kind of inaction we saw in 10 years under Stephen Harper, who still very much apparently controls the backbench of the Conservative Party, and these Conservatives are no different.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I suggest the hon. member actually talk to some of her colleagues from British Columbia where they have had a price on carbon pollution for years and have among the strongest economic growth in the country. Eighty-five per cent of Canadians now live in jurisdictions where they have put a price on carbon pollution, and Canadians understand that growing the economy at the same time as we protect the environment is the only way forward. 
The Harper Conservatives still demonstrate that they do not get it. They are stuck in what they were doing for 10 years. Canadians had enough.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, if these Conservatives want to run another campaign based on how well they did during the Harper years, I urge them to do so. Canadians rejected the approach of the Harper government, which presided over the worst record of economic growth since the Great Depression, was unable to create energy jobs in new markets, and failed to provide Canadians with the future they needed. Canadians made a choice: they rejected Harper and his Conservatives. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, to set the record straight, economic growth during the Harper years was lower than at any other time since the Great Depression, lower than under any other Canadian prime minister. In the past two and a half years, we have invested more money in the middle class, invested in infrastructure, and demonstrated that leadership on the environment and the economy go hand in hand. As a result, we ensured that Canada had the strongest record of growth in the G7 for the past year, and we are in the process of creating 600,000 new jobs.
That is our record, and that is what Canadians chose.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the Federal Court of Appeal clearly stated that the Harper government did not consult the first nations enough on this energy project. Our government held the most comprehensive consultations with rights holders in the history of this country and we set up a review committee whose role was defined jointly with first nations communities. Some 43 indigenous communities signed agreements on the benefits and, for the first time in Canadian history, many indigenous peoples took part in the process. They benefited from it. As we share—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, what we actually did was improve the process by adding additional steps and additional consultations to the flawed process put in place by the Harper government.
We know that moving forward on resources requires that we demonstrate leadership on the environment and a plan to grow the economy sustainably. That is exactly what we did. We strengthened the approval process. We did extra consultations. We are moving forward with the project in the national interest.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we have been in talks with our American partners for months on a number of border-related issues, and this is what Canadians expect. However, the safe third country agreement between Canada and the United States allows for proper management of asylum claims. This agreement is based on a principle recognized by the United Nations Refugee Agency that refugees must claim asylum in the first safe country they reach.
That said, it is unfortunate that the NDP is using the Conservatives' fear tactics to sway Canadians. We are going to remain compassionate and ensure that everyone who should stay in Canada is able to do so.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, in Canada, we are incredibly fortunate that Canadians look at immigrants and refugees, across party lines, as a potential benefit to Canada, as nation builders, not just as immigrants or refugees. We know that being compassionate and welcoming is one of the great strengths of Canada. We also know that applying the rules and the laws around our immigration system is essential for fairness, but it is also essential to ensure continued support for immigrants and refugees. That is exactly what we are doing. We are going to remain compassionate while ensuring that our laws are enforced.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, first of all, we are very proud to say that many of the elements of the bill we tabled regarding Elections Canada actually stem from recommendations that Elections Canada made on how to improve our electoral system. The previous Conservative government mucked up our voting system by making it harder for Canadians to vote and making it easier to use more money to convince Canadians to vote for them. Fortunately, their tactics failed, and now we are working to overhaul and improve our system. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, after a rigorous, open, merit-based process, we are happy to have chosen Stéphane Perrault as the most qualified candidate for the position of Chief Electoral Officer. With over 20 years serving in government, he has extensive knowledge and understanding of the Canada Elections Act and the Canadian parliamentary system. We have every confidence that under his continued leadership, Elections Canada will be more than ready for the 2019 federal election. We have submitted an excellent candidate to this House and hope that all members confirm his appointment.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, last week I spoke directly with Prime Minister Netanyahu and explained to him that regardless of which country was involved, any time a foreign military sniper shoots a Canadian citizen, a Canadian civilian, we will have questions about that. We will stand up and express how concerned we are and ask to know exactly what happened. A Canadian doctor was shot by an Israeli sniper. This is something that we have to actually push back on and ask how that happened.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, on this side of the House, we have repeatedly condemned the violence, including the incitement to violence by Hamas, but I will express once again that I am proud that Canada is one of those countries in which support for Israel and friendship with Israel go beyond partisan lines. Our government has continued to be a friend to Israel. 
There is, in fact, only one issue on which we deeply disagree with the Conservatives with regard to Israel. It is that we do not think it should be a partisan domestic issue.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, how quickly they forget. In the 2015 election campaign, protestors were outside the home of a Jewish leader in Toronto because he had dared to support the Liberal Party in our election and leaders within the Jewish community had actually stepped forward and supported a different party than theirs.
The politicization of the Israel question has been done by them. It is shameful and unhelpful to the kind of pluralistic democracy we are. We will always be a friend to Israel on this side of the House.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, together with our G20 partners, we have committed to phase out inefficient fossil fuel subsidies by the year 2025, and we are on track to meet that target.
Canada is able to develop its resources while protecting the environment. That is why we are committed to the Trans Mountain expansion project, which will create thousands of good jobs.
We have also made significant investments in our world-class oceans protection plan totalling $1.5 billion.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, our government respects the fact that it must create economic growth while protecting the environment. That is why the Trans Mountain project had to satisfy additional assessment criteria before we approved it.
It is important for people to know that, once approval has been granted, the government will keep its promises. That is why we are working with the company and with our partners across the country to ensure this project gets built because it is in the national interest.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, together with our G20 partners, we have committed to phase out inefficient fossil fuel subsidies by the year 2025. We are on track to meet this target. Unfortunately, the NDP continues to say we have not done anything, but in budget 2016 we announced the expiration of the tax writeoffs on capital investments in LNG facilities and in budget 2017 we announced the elimination of certain tax credits for exploration expenses in the oil and gas sector in certain cases. 
We are committed to growing the economy and protecting the environment at the same time. The NDP and Conservatives still think there is a choice to be made. We know they go together.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the lack of concern by the NDP for the hard-working Albertans in our oil and gas sector is disheartening. As I said to them when I was out there, we recognize that the Trans Mountain expansion is in the national interest. Ensuring we continue to get good prices for our resources while we move forward toward a low-carbon economy is exactly what all Canadians expect. 
We are pleased to have found that project in the national interest. We will get that project built, despite the naysaying by the NDP.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, over the past couple of years we have done two things that are completely foreign to the Conservative Party. One of them is to take real action on reducing our carbon emissions. The second is to work collaboratively with the provinces instead of setting them up as enemies. 
What we are doing is working with the provinces so they can establish their plans to reduce their carbon emissions, including putting a price on carbon pollution. They will determine how they will be returning the money collected from that price on pollution to their citizens. Speculation about—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, what the Conservatives simply do not understand is that growing the economy for the future requires us to also be protecting future generations. That means being smart about reducing the amount of carbon emissions, reducing the pollution we are putting out. By putting a price on pollution, by encouraging better choices by industry and citizens, we know that we are creating a sustainable future for everyone. That is why for 10 years they made no choices, showed no leadership on the environment, and could not build a strong economy.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the member opposite likes to talk about taxes, but you notice he does not explain why he voted against raising taxes on the wealthiest one per cent and lowering them on the middle class. That is the first thing we did. 
Then he wanted to continue to send child benefit cheques to millionaire families instead of giving more money to the families who need it. Our Canada child benefit gives more money to nine out of 10 Canadian families and is lifting hundreds of thousands of kids across this country out of poverty. Those are the choices that we have made, and we are going to continue to make them despite—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, in French we say, “chassez le naturel, il revient au galop”. As soon as the Conservatives get in a place they do not like, they start attacking personally. They start slamming someone and throwing mud. 
The fact is that we lowered taxes for the middle class and raised them on the wealthiest one per cent. The study they are talking about actually did not even count the Canada child benefit. 
What I think Canadians would want to hear is whether they will then change back the Canada child benefit to benefit millionaires and take money out of the pockets of the poorest in Canada, because that is what they want—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, first, I am very proud to invite the world leaders to our magnificent region of Charlevoix. I know that the residents of Charlevoix are proud to welcome people from all over the world and to show them how beautiful their region is.
I will be headed to the beautiful region of Charlevoix this afternoon to meet with community leaders, the mayor, and residents to answer their questions, as we have been doing for the past few months, and to talk about how this event will be a great success for them, their country, and the world.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, obviously we are working with the mayor of Quebec City and the authorities to ensure that everything goes smoothly.
We acknowledge that it is important for citizens to be able to express themselves, whether they agree or disagree with the events, but we must ensure that this is done in accordance with the law and in an orderly fashion. That is why we are working with the local police, with the Sûreté du Québec, and with the RCMP to ensure that the public, the store owners, and everyone else are safe during this magnificent G7 meeting being held in Charlevoix and during other events being held in Quebec City.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)"," Mr. Speaker, we are legalizing cannabis to better protect young people and our communities from the effects of cannabis and the black market. Right now, the medical-marijuana system actually purveys a lot of recreational cannabis to users. We know that this will all change once we have a regulated system in place, and we will work with stakeholders in the medical industry to ensure that medical marijuana is still—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we are legalizing and regulating cannabis sales because we know that we need to better protect our kids and protect our communities from the impact of organized crime. That is why we are doing this. We recognize that under the current prohibition the medical-marijuana system actually purveys an awful lot of recreational cannabis to users. This situation will shift significantly once we have a legalized regime in place, and we are going to be working with the medical marijuana community to ensure that those who use marijuana as medications do not suffer undue extra penalties. That is something we have committed to doing. We are going to work responsibly toward that.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, our plan is to get that pipeline built because it is in the national interest, because it is part of both growing the economy and protecting the environment together. As the members know, we are working right now in financial discussions with the proponent. We are ensuring that we will be able to move forward in a responsible way. That is exactly what we are going to do. We are going to do what is in the national interest. The national interest is to build that pipeline so we can get our resources responsibly and sustainably to new markets across the Pacific.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I find it funny that Stephen Harper's Conservatives are still talking about leadership on natural resources. For 10 years, they talked up Alberta's oil economy every chance they got, but they never got anything done. They were not able to get a single kilometre of pipeline toward new markets built. They could not make it happen because they did not know, did not understand, and still refuse to understand that growing the economy goes hand in hand with protecting the environment. Because they were unable to protect the environment, they could not grow the economy the way it needed to be done. We are going to do things differently.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, after 10 years of failure by Stephen Harper to get even one kilometre of new pipeline built to new markets, we are getting it done. We have approved the Kinder Morgan TMX pipeline expansion under a strengthened process that brings in indigenous communities, that respects science, that gets the social licence that so completely evaded the previous government because Canadians did not trust them. Canadians did not believe they had the best interests of Canada and Canadians at heart. 
What that means is that we are growing the economy and protecting the environment as well. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, if one actually listens to the Conservative members, one realizes they are actually hinging an awful lot of their political survival on our not getting the pipeline built. We are going to get that pipeline built, and I look forward to seeing what the Conservatives have to say once construction season starts, once shovels are in the ground, and once we deliver on this pipeline to new markets, which they were unable to do. Would they be happy then, or would they be miserable that it was our government that got it done—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we look forward to debating this bill in committee. We know that there are many witnesses and members who want to make suggestions regarding this bill in committee. That is an important step in the process.
We look forward to sending this bill to committee so that the NDP, the Conservative Party, and others can share their opinions on this important bill. That is why we are very happy to soon send it to committee so that we can all do the work together. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, this is in fact the fourth day of debate on the elections bill, and we are looking forward to sending it to committee so that the member opposite and all members will be able to weigh in and make their concrete recommendations to improve this piece of legislation. Yes, we know that Elections Canada rules need to be improved after the Conservatives broke them. That is why we look forward to having robust discussions at committee, so the work can actually get done and delivered in time for Canadians in the next election. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I thank the member for Alfred-Pellan for his question.
It is one that has been on the minds of all Quebeckers and all Canadians. For nearly five years now, the people of Lac-Mégantic have worked very hard to recover, rebuild their town, and create a better future for their community.
On May 11, the Minister of Finance and I announced that we have signed an agreement in principle with the Government of Quebec to jointly fund the rail bypass project.
We know that some wounds will never heal, but we sincerely hope this bypass will mark a new beginning for the people of Lac-Mégantic.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, our decision to introduce indigenous participation is consistent with our desire to establish a renewed relationship with indigenous peoples. Expanding access to the Arctic surf clam fishery is a major step towards reconciliation.
When the Conservatives launched a similar process, they chose to exclude indigenous peoples. The minister will continue to work with the Conflict of Interest and Ethics Commissioner and to follow his advice. ",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, what Canadians understand is that despite the mudslinging and the baseless allegations hurled by the Conservatives in the House of Commons from time to time, we have a Conflict of Interest and Ethics Commissioner in charge of ensuring that there is no conflict of interest or ethical breach. 
We on this side of the House have confidence in the commissioner and we are working with him. We know that this is important work that must be respected, despite the petty politics we often get from the Conservatives.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, our decision to introduce indigenous participation is consistent with our commitment to developing a renewed relationship between Canada and indigenous peoples. Enhancing access to the Arctic surf clam fishery broadens the distribution of benefits from this public resource, and is a powerful step toward reconciliation. When the Conservatives went through a very similar process to increase access to this fishery, they chose to exclude indigenous peoples.
As to the matter raised by the member, our member will continue to work with the Conflict of Interest and Ethics Commissioner and follow his advice—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, once again we have a situation in which the Conservatives are slinging mud and throwing groundless accusations across the floor of the House of Commons as if they were true.
What is reassuring to members of this House and indeed to all Canadians watching is that we have a Conflict of Interest and Ethics Commissioner whose job is to get to the facts of the matter, not the partisan spin and the angry attacks. We trust the Ethics Commissioner, work with the Ethics Commissioner, and support him in the important job he does.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the protection of our oceans continues to be a priority for this government.
On top of the $1.5 billion oceans protection plan, which will bring world-class protection to our coasts, we are moving forward this year with a significant amount of leadership on protecting our oceans. From a round table on plastics at the World Economic Forum in Switzerland to the leadership shown at the Commonwealth a few weeks ago to our leadership at the G7 on moving forward on plastics to our leadership and co-hosting a meeting in Nairobi, Kenya on our oceans this fall, Canada continues to lead—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, it would be easier to believe the high dudgeon from the member opposite if it were not for the fact that on this side of the House, we are moving forward with open and transparent public financing. We have invited the media in to our financing events. The NDP and the Conservatives still refuse to open up and publicly announce their fundraising efforts.
 If the member opposite is so serious about transparency and openness, perhaps he could do like we do and invite the media to his next private fundraiser.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, once again, the Conservatives' political approach relies on fearmongering and dividing Canadians.
Our security agencies and police forces take all potential threats seriously and have access to measures including surveillance, passport revocations, and criminal charges, when there is sufficient evidence. We know they are doing their job, and they are good at it.
It is worrisome that the Conservatives seem to want elected officials to intervene and tell police officers who to arrest and when. On this side, we will continue to trust those who—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the Conservatives cannot deny the facts. During their last majority term, they slashed $400 million from the Canada Border Services Agency. That is the kind of budget cut that compromises our safety and security, and that is why we are making investments and showing respect for the work our police and border officers do. 
We are doing whatever it takes to protect Canadians. Unfortunately for the Conservatives, engaging in the politics of fear, as they have been doing for so long, does nothing to keep us safe.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am going to take issue with plenty of what the member opposite said, but one specifically where we did not engage and we withdrew some of our support in the fight against ISIS in the Middle East. On the contrary, we are pleased with the extraordinary work that the men and women of the Canadian Forces did in northern Iraq in helping with the retaking of Mosul, of the significant impact on the ground that we had.
 We can be proud of the work the Canadian Forces did to degrade and defeat ISIL. We were part of that, despite what the Conservatives say.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I thank the member for Brome—Missisquoi for his question.
Through the dairy farm investment program, our government has given Canadian dairy producers over $66 million, $26 million of which has gone to Quebec dairy producers. Through the dairy processing investment fund, we have given dairy processors close to $24 million, and $10 million of that went to Quebec.
Our government will continue to invest in, protect, and stand up for dairy producers across Canada.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, our government recognizes the importance of the rail line to the people of Churchill and the surrounding area. Our priority remains the safety and well-being of the people impacted by the loss of rail service.
 We will continue to work closely with the Town of Churchill, the Province of Manitoba, and others in support of the immediate and long-term interests of the region. No negotiations with any parties will be conducted in public.
 However, if the member opposite really wants to help, she can call on her friend Merv Tweed, former Conservative MP at OmniTRAX, and tell him to make the right deal for Canadians and for Churchill.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, through our dairy farm investment program, our government has given more than $66 million to Canada's dairy farmers, including $26 million to dairy farmers in Quebec. Through the dairy processing investment fund, we have given nearly $24 million to dairy processors, including $10 million in Quebec.
Our government will continue to invest in, protect, and defend our dairy producers and supply management across Canada.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I thank the member for Aurora—Oak Ridges—Richmond Hill for her service as a veteran of our armed forces.
We are taking action to combat climate change across the government. The Minister of National Defence recently took part in a building dedication ceremony for the newly constructed Royal Canadian Electrical and Mechanical Engineering School at CFB Borden. This facility was designed to meet the LEED silver certification standard, and has incorporated green building concepts to minimize its footprint. It will provide our forces with state-of-the-art facilities. 
We believe in green infrastructure and clean technology, including in our new defence policy.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, as we know, decisions to attend conferences are made by the public service. We support its right to send people to conferences that are good for their development and professional improvement.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, I am proud to say that the Liberal Party created our supply management system, and we will continue to defend it.
We were able to sign agreements with countries around the world while protecting a system that works very well for our farmers, our consumers, and our country. We will continue to defend that system. We know it is important for our products to have access to new markets. This is an important era of global trade for Canada. We will always protect our supply management system.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, the elections modernization act is a large step forward in our government's commitment to improve and strengthen our democratic institutions. We are reversing the changes brought in by the Harper Conservatives that made it harder for Canadians to vote. This legislation will ensure that more Canadians are engaged, will help protect the integrity of our electoral system, and give Canadians more information as to what political parties do with their personal information. We committed to reversing the Harper Conservatives' unjust changes to the Canada Elections Act, and that is exactly what we are doing.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, not only are we pleased that we are engaging with a broad range of experts and not doing it the way the Conservatives did it when they brought in their attempts to improve Canada's elections in a way that advantaged them, but we also look forward to the discussions that will be happening at committee. We encourage the members opposite to come forward with amendments and proposals, because, unlike them when they were in power, we are open to suggestions on how to improve Canada's democracy.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, again, we look forward to the members opposite bringing forward reasoned amendments and thoughtful proposals to improve further our Elections Canada reforms. We know that it is important for Canadians to be able to trust their electoral systems and to trust our democratic institutions, and we intend to do just that.
I will highlight, however, that the Harper Conservatives were the ones who branded people as “eco-terrorists” and tried to limit their capacity to vote and be heard in our public sphere. We believe in freedom of speech, we believe in supporting a broad range of voices, but we will protect our—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, what the Conservatives, who are still Harper Conservatives, refuse to accept is that four of our largest provinces are already taxing pollution and that 80% of the Canadian economy is covered by this pollution pricing. Our economy has been growing at a record pace over the past few years with 80% of it already subjected to a price on pollution. The Conservatives are fearmongering for nothing because they fail to understand anything.",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, unlike the previous government, we have committed to working with the provinces on a broad range of initiatives, including demonstrating that the economy and the environment go hand in hand. That is why we are working with the provinces, who will bring forward this fall their proposals on how they will approach pricing carbon pollution. We will work with them and ensure that right across the country we have systems of similar stringency and effectiveness. 
That fundamental respect for provincial jurisdiction and partnership was what was lacking from Stephen Harper's Conservatives—",Liberal,Papineau,Justin Trudeau
"Right Hon. Justin Trudeau (Prime Minister, Lib.)","Mr. Speaker, we promised Canadians that we would build a strong economy while protecting the environment, create jobs, and ensure that future generations can breathe clean air, drink clean water, and live in a protected environment. That is exactly what we will continue to do. We are showing that, unlike the NDP, we know that creating good jobs goes hand in hand with transitioning to a low-carbon economy and protecting the environment. That is what we are doing.",Liberal,Papineau,Justin Trudeau
